transaction_date,value_date,narration,ref_no,credit,debit,currency
2026-08-02,2026-08-02,CMS/RAZORPAY/UTR_EX_0017/pay_EXACT_0017_2169/SETTL,UTR_EX_0017,15423.71,0.0,INR
2026-08-05,2026-08-05,CMS/RAZORPAY/UTR_EX_0012/pay_EXACT_0012_6925/SETTL,UTR_EX_0012,14645.13,0.0,INR
2026-08-11,2026-08-11,DIRECT NEFT CLIENT TRANSFER DIRECT_BANK_NEFT_0005 FROM ACME CORP,DIRECT_BANK_NEFT_0005,5652.08,0.0,INR
2026-08-03,2026-08-03,CMS/RAZORPAY/UTR_EX_0022/pay_EXACT_0022_4483/SETTL,UTR_EX_0022,16558.25,0.0,INR
2026-08-19,2026-08-19,ACH-CR-RZP-UTR_DELAY_0008-pay_DELAY_0008_2528,UTR_DELAY_0008,16785.06,0.0,INR
2026-08-07,2026-08-07,NEFT-RZP-PAYOUT-UTR_FEE_0009-pay_FEE_0009_9201,UTR_FEE_0009,37431.42,0.0,INR
2026-08-25,2026-08-25,ACH-CR-RZP-UTR_DELAY_0011-pay_DELAY_0011_7570,UTR_DELAY_0011,16390.31,0.0,INR
2026-08-13,2026-08-13,ACH-CR-RZP-UTR_DELAY_0005-pay_DELAY_0005_2235,UTR_DELAY_0005,8811.66,0.0,INR
2026-08-05,2026-08-05,NEFT-RZP-PAYOUT-UTR_FEE_0008-pay_FEE_0008_3591,UTR_FEE_0008,22684.17,0.0,INR
2026-08-03,2026-08-03,NEFT-RZP-UTR_AMBIG_02-CONFLICT,UTR_AMBIG_02,999.0,0.0,INR
2026-08-02,2026-08-02,CMS/RAZORPAY/UTR_EX_0023/pay_EXACT_0023_8517/SETTL,UTR_EX_0023,4000.35,0.0,INR
2026-08-02,2026-08-02,CMS/RAZORPAY/UTR_EX_0003/pay_EXACT_0003_1488/SETTL,UTR_EX_0003,2795.53,0.0,INR
2026-08-03,2026-08-03,UPI/RZP/pay_FUZZY_003AB0/PAYMENT,pay_FUZZY_003AB0,4857.56,0.0,INR
2026-08-04,2026-08-04,UPI/RZP/pay_FUZZY_001AB0/PAYMENT,pay_FUZZY_001AB0,14945.07,0.0,INR
2026-08-05,2026-08-05,NEFT-RZP-UTR_AMBIG_04-CONFLICT,UTR_AMBIG_04,999.0,0.0,INR
2026-08-09,2026-08-09,DIRECT NEFT CLIENT TRANSFER DIRECT_BANK_NEFT_0003 FROM ACME CORP,DIRECT_BANK_NEFT_0003,70031.28,0.0,INR
2026-08-04,2026-08-04,NEFT-RZP-UTR_AMBIG_03-CONFLICT,UTR_AMBIG_03,999.0,0.0,INR
2026-08-09,2026-08-09,ACH-CR-RZP-UTR_DELAY_0003-pay_DELAY_0003_3296,UTR_DELAY_0003,8461.05,0.0,INR
2026-08-02,2026-08-02,NEFT-RZP-UTR_AMBIG_01-CONFLICT,UTR_AMBIG_01,999.0,0.0,INR
2026-08-06,2026-08-06,NEFT-RZP-UTR_AMBIG_05-CONFLICT,UTR_AMBIG_05,999.0,0.0,INR
2026-08-01,2026-08-02,CMS/RAZORPAY/UTR_EX_0001/pay_EXACT_0001_4657/SETTL,UTR_EX_0001,3918.68,0.0,INR
2026-08-08,2026-08-08,BULK-RZP-SETTL-UTR_BATCH_0005-TOTAL-8284.41,UTR_BATCH_0005,8284.41,0.0,INR
2026-08-13,2026-08-13,DIRECT NEFT CLIENT TRANSFER DIRECT_BANK_NEFT_0007 FROM ACME CORP,DIRECT_BANK_NEFT_0007,44409.56,0.0,INR
2026-08-01,2026-08-01,CMS/RAZORPAY/UTR_EX_0006/pay_EXACT_0006_5557/SETTL,UTR_EX_0006,20331.05,0.0,INR
2026-08-02,2026-08-02,IMPS/RAZORPAY/UTR_RND_0002/pay_ROUND_0002,UTR_RND_0002,6152.83,0.0,INR
2026-08-04,2026-08-04,CMS/RAZORPAY/UTR_EX_0009/pay_EXACT_0009_6881/SETTL,UTR_EX_0009,21263.61,0.0,INR
2026-08-05,2026-08-05,NEFT-RZP-PAYOUT-UTR_FEE_0006-pay_FEE_0006_2876,UTR_FEE_0006,33591.88,0.0,INR
2026-08-02,2026-08-02,CMS/RAZORPAY/UTR_EX_0007/pay_EXACT_0007_7924/SETTL,UTR_EX_0007,8836.14,0.0,INR
2026-08-23,2026-08-23,ACH-CR-RZP-UTR_DELAY_0010-pay_DELAY_0010_8956,UTR_DELAY_0010,9442.41,0.0,INR
2026-08-02,2026-08-02,NEFT-RZP-PAYOUT-UTR_FEE_0001-pay_FEE_0001_9348,UTR_FEE_0001,24587.97,0.0,INR
2026-08-03,2026-08-03,CMS/RAZORPAY/UTR_EX_0002/pay_EXACT_0002_9935/SETTL,UTR_EX_0002,2630.0,0.0,INR
2026-08-04,2026-08-04,CMS/RAZORPAY/UTR_EX_0021/pay_EXACT_0021_5386/SETTL,UTR_EX_0021,2121.62,0.0,INR
2026-08-03,2026-08-03,BULK-RZP-SETTL-UTR_BATCH_0000-TOTAL-12809.28,UTR_BATCH_0000,12809.28,0.0,INR
2026-08-06,2026-08-06,BULK-RZP-SETTL-UTR_BATCH_0003-TOTAL-16337.55,UTR_BATCH_0003,16337.55,0.0,INR
2026-08-03,2026-08-03,IMPS/RAZORPAY/UTR_RND_0008/pay_ROUND_0008,UTR_RND_0008,2440.46,0.0,INR
2026-08-04,2026-08-04,CMS/RAZORPAY/UTR_EX_0010/pay_EXACT_0010_1711/SETTL,UTR_EX_0010,18378.43,0.0,INR
2026-08-02,2026-08-02,NEFT-RZP-PAYOUT-UTR_FEE_0005-pay_FEE_0005_9669,UTR_FEE_0005,13004.95,0.0,INR
2026-08-03,2026-08-03,IMPS/RAZORPAY/UTR_RND_0009/pay_ROUND_0009,UTR_RND_0009,2767.52,0.0,INR
2026-08-17,2026-08-17,ACH-CR-RZP-UTR_DELAY_0007-pay_DELAY_0007_9856,UTR_DELAY_0007,15294.46,0.0,INR
2026-08-06,2026-08-06,UPI/RZP/pay_FUZZY_008AB0/PAYMENT,pay_FUZZY_008AB0,8721.46,0.0,INR
2026-08-06,2026-08-06,NEFT-RZP-PAYOUT-UTR_FEE_0003-pay_FEE_0003_7916,UTR_FEE_0003,29510.75,0.0,INR
2026-08-07,2026-08-07,NEFT-RZP-PAYOUT-UTR_FEE_0004-pay_FEE_0004_7252,UTR_FEE_0004,29485.85,0.0,INR
