entity_id,amount,fee,tax,net_amount,currency,settled_at,utr,merchant_name,description,status
pay_EXACT_0018_5010,4503.36,0.0,0.0,4503.36,INR,2026-08-03 10:00:00,UTR_EX_0018,Merchant_44,Standard checkout settlement pay_EXACT_0018_5010,settled
pay_FEE_0003_7916,30224.04,604.48,108.81,29510.75,INR,2026-08-06 07:00:00,UTR_FEE_0003,SaaS Platform Pvt Ltd,Subscription plan payment pay_FEE_0003_7916,settled
pay_SPLIT_B0_S0_652,6531.59,0.0,0.0,6531.59,INR,2026-08-02 21:00:00,UTR_BATCH_0000,Batch Store 0,Batch item 0 for settlement UTR_BATCH_0000,settled
pay_FEE_0005_9669,13319.29,266.39,47.95,13004.95,INR,2026-08-02 07:00:00,UTR_FEE_0005,SaaS Platform Pvt Ltd,Subscription plan payment pay_FEE_0005_9669,settled
pay_SPLIT_B3_S0_172,5084.94,0.0,0.0,5084.94,INR,2026-08-06 04:00:00,UTR_BATCH_0003,Batch Store 3,Batch item 0 for settlement UTR_BATCH_0003,settled
pay_DELAY_0010_8956,9442.41,0.0,0.0,9442.41,INR,2026-08-21 09:00:00,UTR_DELAY_0010,Ecommerce Corp,Friday payment settled Monday pay_DELAY_0010_8956,settled
pay_FUZZY_005ABC,9950.16,0.0,0.0,9950.16,INR,2026-08-04 16:00:00,pay_FUZZY_005ABC,Retail Store Online,Order pay_FUZZY_005ABC,settled
pay_FEE_0006_2876,34403.81,688.08,123.85,33591.88,INR,2026-08-05 01:00:00,UTR_FEE_0006,SaaS Platform Pvt Ltd,Subscription plan payment pay_FEE_0006_2876,settled
pay_DELAY_0012_3697,7753.06,0.0,0.0,7753.06,INR,2026-08-25 09:00:00,UTR_DELAY_0012,Ecommerce Corp,Friday payment settled Monday pay_DELAY_0012_3697,settled
pay_SPLIT_B4_S2_199,5953.9,0.0,0.0,5953.9,INR,2026-08-07 03:00:00,UTR_BATCH_0004,Batch Store 4,Batch item 2 for settlement UTR_BATCH_0004,settled
pay_FEE_0004_7252,30198.53,603.97,108.71,29485.85,INR,2026-08-07 04:00:00,UTR_FEE_0004,SaaS Platform Pvt Ltd,Subscription plan payment pay_FEE_0004_7252,settled
pay_SPLIT_B2_S0_172,6247.05,0.0,0.0,6247.05,INR,2026-08-05 08:00:00,UTR_BATCH_0002,Batch Store 2,Batch item 0 for settlement UTR_BATCH_0002,settled
pay_ROUND_0006,6745.5,0.0,0.0,6745.5,INR,2026-08-04 14:00:00,UTR_RND_0006,Direct D2C,Rounding case pay_ROUND_0006,settled
pay_AMBIG_DUP_02_B,999.0,0.0,0.0,999.0,INR,2026-08-03 09:05:00,UTR_AMBIG_02,Ambiguous Merchant,Duplicate payment 2,settled
pay_ROUND_0004,2839.5,0.0,0.0,2839.5,INR,2026-08-01 19:00:00,UTR_RND_0004,Direct D2C,Rounding case pay_ROUND_0004,settled
pay_SPLIT_B4_S3_533,4466.61,0.0,0.0,4466.61,INR,2026-08-06 21:00:00,UTR_BATCH_0004,Batch Store 4,Batch item 3 for settlement UTR_BATCH_0004,settled
pay_SPLIT_B3_S2_235,6340.12,0.0,0.0,6340.12,INR,2026-08-05 23:00:00,UTR_BATCH_0003,Batch Store 3,Batch item 2 for settlement UTR_BATCH_0003,settled
pay_DELAY_0014_8454,6206.61,0.0,0.0,6206.61,INR,2026-08-29 09:00:00,UTR_DELAY_0014,Ecommerce Corp,Friday payment settled Monday pay_DELAY_0014_8454,settled
pay_DELAY_0009_4872,4244.13,0.0,0.0,4244.13,INR,2026-08-19 09:00:00,UTR_DELAY_0009,Ecommerce Corp,Friday payment settled Monday pay_DELAY_0009_4872,settled
pay_EXACT_0024_9830,6937.17,0.0,0.0,6937.17,INR,2026-08-04 12:00:00,UTR_EX_0024,Merchant_64,Standard checkout settlement pay_EXACT_0024_9830,settled
pay_SPLIT_B1_S1_562,2726.03,0.0,0.0,2726.03,INR,2026-08-04 05:00:00,UTR_BATCH_0001,Batch Store 1,Batch item 1 for settlement UTR_BATCH_0001,settled
pay_ROUND_0005,6384.57,0.0,0.0,6384.57,INR,2026-08-03 19:00:00,UTR_RND_0005,Direct D2C,Rounding case pay_ROUND_0005,settled
pay_AMBIG_DUP_05_B,999.0,0.0,0.0,999.0,INR,2026-08-06 09:05:00,UTR_AMBIG_05,Ambiguous Merchant,Duplicate payment 2,settled
pay_DELAY_0001_2790,5602.83,0.0,0.0,5602.83,INR,2026-08-03 09:00:00,UTR_DELAY_0001,Ecommerce Corp,Friday payment settled Monday pay_DELAY_0001_2790,settled
